MM,tilt_corr
1,0.995057661
2,1
3,1.006791171
4,1.018932874
5,1.031135531
6,1.035123967
7,1.034682081
8,1.025862069
9,1.01255887
10,1.002994012
11,0.996715928
12,0.993453355
